rank,gene,coupling_score,raw_training_variance,pool_index
1,DNER,0.09995057247042168,6.807823482808023,45
2,SPIC,0.09714880070910735,4.060448050994679,217
3,TCL1B,0.09671941349876069,7.326512798821122,30
4,NPIPA5///NPIPB6///NPIPB8///NPIPB3,0.09540916446991345,3.970016141539091,238
5,EML6,0.09508854730321063,4.147698573789803,202
6,MMP20,0.09229761473405254,6.4748200773557105,51
7,KCCAT333,0.091941154166749,6.0511750196970935,57
8,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,0.090479898752526,4.756213683130785,125
9,RNF183,0.0896051608041985,4.207413137421203,190
10,MYOCD,0.08751485506855444,5.411304131984931,80
11,UMODL1,0.08720891672724802,5.581202485927139,71
12,CTAG2,0.08526240651100614,4.489856250382246,149
13,IGK///IGKC,0.08357773286999604,4.2931173739173145,178
14,LOC283454///HRK,0.08330718520592241,5.533829989103562,73
15,RGS13,0.08292809651469855,7.23917590766271,34
16,TCL1A,0.08216458893171785,6.829515134426973,44
